Nr	Format
125	Proteomics data
126	Proteome profiling data
127	Protein-protein, protein-DNA/RNA and molecular interactions
128	Protein-protein interaction data
129	Protein sequences
130	Protein sequence data
131	Protein circular dichroism and protein synchrotron radiation circular dichroism
132	identification of a key functional group or chromophore
133	Potential Energy Surfaces
134	Possible space groups (for Crystal Structure Prediction? S.G.)
135	Polymers and macromolecules
136	Polymers
137	Reporting of Colloidal Inorganic Nanomaterials (http://pubs.acs.org/doi/abs/10.1021/acs.chemmater.5b02323)
138	Reporting on Heterogeneous Photocatalysis (http://pubs.acs.org/doi/abs/10.1021/am504389z)
139	Perovskite Solar Cell Efficiency Measurements
140	Phenology data
141	full details of the calculation (e.g., structures, energies, frequencies, dynamical quantities, etc.) in a repository that is accessible via the Internet
142	full details of the calculation (e.g., structures, energies, frequencies, dynamical quantities, etc.) in a repository (such as Supporting Information to the paper) that is accessible via the Internet
143	Omics Data
144	Nuclear Magnetic Resonance Pulse Sequences
145	Novel or Unexpected Compounds
146	NMR data
147	Nanomaterials
148	Nano-sized materials (such as quantum dots, nanoparticles, nanotubes, nanowires)
149	NMR spectra, which outlines the preferred format for inclusion of hard copies of spectra in the Supporting Information
150	NMR files should be compressed into zip files—please use multiple zip files if necessary
151	NMR Spectra
152	NMR
153	Molecular Weight  Evidence of molecular weight should be provided, especially if elemental analysis was not performed
154	MolFile is the recommended format and is strongly preferred
155	Models of biochemical reaction networks
156	Miscellaneous  Numerical listings of characteristic spectroscopic data should be included to support assigned structures, changes in functionality, unusual chromophores, properties, etc
157	Microscopy
158	Methods of purification used to prepare samples for characterization should be described
159	Metagenomics sequence data
160	Metagenomic sequence
161	Metabolite and metabolome profiling data
162	Materials simulation data including electronic structure and molecular dynamics
163	Materials (Various)
164	Materials
165	Mass spectral data for small chemical molecules, metabolomics, exposomics
166	Mass spectra are presented as numerical values m/z and relative intensities of ion currents in a row, in order of decreasing ion mass,  - In the case of GC, the brand and model of instrument, detector, and recording conditions, i.e., temperature, length and diameter of the column, column packing, solid inert carrier, and carrier gas, should be specified in the experimental part
167	Mass spectra are presented as numerical values m/z and relative intensities of ion currents in a row, in order of decreasing ion mass
168	Magnetic moment and/or ESR spectroscopic data should also be given for paramagnetic compounds
169	Macromolecular structure data
170	Macromolecular structure and sequence data
171	Low resolution MS data under conditions that minimize fragmentation
172	the probe temperature when it is accurately known
173	List the nucleus being measured, any nucleus being broad-band decoupled, the solvent used (formula preferred)
174	It is the responsibility of the author to obtain a file name (PDB ID or NDB ID) for the molecule
175	scaled-down photocopies of the experimental spectra
176	Intermolecular and supramolecular interactions of molecular systems, binding, assembly, and interaction phenomena
177	Intermediates on Solid Phase
178	Input/configuration files and program output
179	Inorganic and organometallic compounds
180	Indicate solvent or peak suppression protocols used in collecting data
181	Include the number of protons represented by the signal, peak multiplicity, and coupling constants as needed (J italicized, reported with up to one digit after the decimal)
182	FID files, acquisition data, and processing parameters for each experiment
183	Include peak multiplicities for 1H-coupled 13C NMR spectra or for signals in 1H-decoupled spectra that are coupled to other magnetically active nuclei
184	Include a structure file that shows the structure and compound identifier for each provided dataset
185	In the text and tables, the positions of extrema are designated as λmax and λmin IR and Raman spectra themselves are usually not presented
186	In the text and tables, the positions of extrema are designated as λmax and λmin
187	In the case of GC, the brand and model of instrument, detector, and recording conditions, i.e., temperature, length and diameter of the column, column packing, solid inert carrier, and carrier gas, should be specified
188	In the absence of an X-ray structure determination, evidence for elemental constitution must be provided by elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
